Name,GFEDv4s,FINNv1p5,GFASv1p2,QFEDv2p5r1,FEERv1p0_G1p2,Name_Long
DM,DM,,CR,,,Dry Matter (DM)
C,C,,C,,C,Total Carbon (C) 
CO2,CO2,CO2,CO2,co2,CO2,Carbon Dioxide (CO2)
CO,CO,CO,CO,co,CO,Carbon Monoxide (CO)
CH4,CH4,CH4,CH4,ch4,CH4,Methane (CH4)
NMHC,NMHC,,NMHC,,,Non-Methane Hydrocarbons (NMHC)
H2,H2,,H2,,H2,Hydrogen (H2)
NOx,NOx,NO,NOx,no,NOx,"Nitrogen Oxides (NOx, NO)"
NO2,,NO2,,,,Nitrogen Dioxide (NO2)
N2O,N2O,,N2O,,N2O,Nitrous Oxide (N2O)
PM25,PM2.5,PM25,PM2p5,pm25,PM2.5,Particulate Matter < 2.5 micrometers (PM2.5)
TPM,TPM,,TPM,,TPM,Total Particulate Matter (TPM)
TPC,TPC,,TPC,,TC,Total Carbon from Aerosols (TC)
TVOC,,,,,TVOC,Total Volatile Organic Compounds (TVOC)
OC,OC,OC,OC,oc,OC,Organic Carbon (OC)
BC,BC,BC,BC,bc,BC,Black Carbon (BC)
SO2,SO2,SO2,SO2,so2,SO2,Sulfur Dioxide (SO2)
C2H6,C2H6,C2H6,C2H6,c2h6,C2H6,Ethane (C2H6)
MOH,CH3OH,,CH3OH,,CH4O,Methanol (CH3OH)
EOH,C2H5OH,,C2H5OH,,,Ethanol (C2H5OH)
C3H8,C3H8,C3H8,C3H8,c3h8,C3H8,Propane (C3H8)
C2H2,C2H2,C2H2,,,C2H2,Acetylene (C2H2)
C2H4,C2H4,,C2H4,,,Ethylene (C2H4)
ISOP,C5H8,ISOP,C5H8,,,"Isoprene (C5H8, CH2=C(CH3)CH=CH2)"
LIMO,C10H16,,,,,Limonene (C10H16)
TOLU,C7H8,TOLU,C7H8,,,Toluene (C7H8)
BENZ,C6H6,BENZ,C6H6,,,Benzene (C6H6)
XYLE,C8H10,XYLE,C8H10,,,Xylene (X8H10)
PRPE2,C3H6,,C3H6,c3h6,C3H6,Higher Alkenes (C3H6)
C4H8,,,C4H8,,,Butene (C4H10)
C5H10,,,C5H10,,,Pentene (C5H10)
C6H12,,,C6H12,,,Hexene (C6H12)
C8H16,,,C8H16,,,Octene (C8H16)
C4H10,,,C4H10,,nBut,Butane (C4H10)
C5H12,,,C5H12,,,Pentane (C5H12)
C6H14,,,C6H14,,,Hexane (C6H14)
C7H16,,,C7H16,,,Heptane (C7H16)
TOLU,Toluene_lump,,Toluene,,,Toluene Lump (C7H8 + C6H6 + C8H10)
TERP,,,Terpenes,,,Terpenes (C5H8)n
PRPE1,Higher_Alkenes,PRPE,HiAlkenes,,,"Higher Alkenes (CnH2n, C>=4)"
ALK4,Higher_Alkanes,ALK4,HiAlkanes,alk4,,"Higher Alkanes (CnH2n+2, C>=4)"
CH2O,CH2O,CH2O,CH2O,ch2o,CH2O,Formaldehyde (CH2O)
ALD2,C2H4O,ALD2,C2H4O,ald2,C2H4O,Acetaldehyde (C2H4O)
ACET,C3H6O,ACET,C3H6O,acet,Acet,Acetone (C3H6O)
NH3,NH3,NH3,NH3,nh3,NH3,Ammonia (NH3)
DMS,C2H6S,,C2H6S,,,Dimethyl Sulfide (DMS)
HCN,HCN,HCN,,,,Hydrogen Cyanide (HCN)
HCOOH,HCOOH,,,,CH2O2,Formic Acid (HCOOH)
ACTA,CH3COOH,,,,AcOH,Acetic Acid (ACTA)
GLYX,,,,,,Glyoxal (CHOCHO)
MEK,MEK,MEK,,mek,MEK,Methyl Eythl Ketone (RC(O)R)
MGLY,CH3COCHO,,,,,Methylglyoxal (CH3COCHO)
GLYC,HOCH2CHO,,,,,Glycoaldehyde (HOCH2CHO)
HAC,,,,,,Hydroxyacetone (HOCH2C(O)CH3)
OCS,,,,,COS,Carbonyl Sulfide (COS)